dataset	n_domains	count	percent
groel	0	5	1.9
groel	1	104	40.5
groel	2	85	33.1
groel	3	37	14.4
groel	4	16	6.2
groel	5	6	2.3
groel	6	2	0.8
groel	9	1	0.4
groel	10	1	0.4
hsp60	0	26	8.9
hsp60	1	118	40.5
hsp60	2	86	29.6
hsp60	3	34	11.7
hsp60	4	17	5.8
hsp60	5	8	2.7
hsp60	6	2	0.7
matrix_bg	0	55	9.6
matrix_bg	1	227	39.5
matrix_bg	2	182	31.7
matrix_bg	3	53	9.2
matrix_bg	4	29	5.1
matrix_bg	5	20	3.5
matrix_bg	6	4	0.7
matrix_bg	7	2	0.3
matrix_bg	8	1	0.2
matrix_bg	9	1	0.2
mito_bg	0	252	18.5
mito_bg	1	621	45.6
mito_bg	2	304	22.3
mito_bg	3	100	7.3
mito_bg	4	49	3.6
mito_bg	5	25	1.8
mito_bg	6	6	0.4
mito_bg	7	2	0.1
mito_bg	8	2	0.1
mito_bg	9	1	0.1
mito_bg	10	1	0.1
proteome_bg	0	1580	6.7
proteome_bg	1	8895	37.6
proteome_bg	2	6548	27.7
proteome_bg	3	3555	15.0
proteome_bg	4	1558	6.6
proteome_bg	5	702	3.0
proteome_bg	6	394	1.7
proteome_bg	7	172	0.7
proteome_bg	8	76	0.3
proteome_bg	9	62	0.3
proteome_bg	10	33	0.1
proteome_bg	11	21	0.1
proteome_bg	12	14	0.1
proteome_bg	13	11	0.0
proteome_bg	14	1	0.0
proteome_bg	15	2	0.0
proteome_bg	16	3	0.0
proteome_bg	17	1	0.0
proteome_bg	18	4	0.0
